词语	T拼音	通用语
阿伯	a1bo2	ab
阿爸	a1ba4	aba
阿哥	a1ge1	a-g
昂贵	ang2gui4	aggui
昂扬	ang2yang2	agiag
阿公	a1gong1	a-gog
昂起	ang2qi3	agq
盎然	ang4ran2	agran
盎司	ang4si1	ags
昂首	ang2shou3	agshou
昂首阔步	ang2shou3kuo4bu4	agshoukuobu
昂首挺胸	ang2shou3ting3xiong1	agshoutigxiog
昂头	ang2tou2	agtou
肮脏	ang1zang1	agzag
啊哈	a1ha1	aha
阿訇	a1hong1	ahog
阿姨	a1yi2	a-i
啊呀	a1ya5	a-ia
皑皑	ai2ai2	aiai
癌变	ai2bian4	aibib
哀兵	ai1bing1	aibig
爱不释手	ai4bu4shi4shou3	aibushishou
挨次	ai1ci4	aic
爱才	ai4cai2	aicai
爱巢	ai4chao2	aichao
爱称	ai4cheng1	aicheg
爱吃	ai4chi1	aichi
爱宠	ai4chong3	aichog
哀愁	ai1chou2	aichou
爱穿	ai4chuan1	aichub
爱出风头	ai4chu1feng1tou2	aichufegtou
爱吹	ai4chui1	aichui
挨打	ai2da3	aida
爱达荷	ai4da2he2	aidah
爱戴	ai4dai4	aidai
哀悼	ai1dao4	aidao
矮凳	ai3deng4	aideg
挨冻	ai2dong4	aidog
挨斗	ai2dou4	aidou
挨饿	ai2e4	aie
阿爷	a1ye2	a-ie
挨罚	ai2fa2	aifa
矮房	ai3fang2	aifag
爱抚	ai4fu3	aifu
挨个	ai1ge4	aig
爱岗	ai4gang3	aigag
哀告	ai1gao4	aigao
矮柜	ai3gui4	aigui
爱国	ai4guo2	aiguo
爱国心	ai4guo2xin1	aiguoxin
爱国者	ai4guo2zhe3	aiguozhe
挨个儿	ai1ge4er1	aigyr
矮个子	ai3ge4zi5	aigz
爱河	ai4he2	aih
爱好	ai4hao4	aihao
爱好者	ai4hao4zhe3	aihaozhe
哀鸿	ai1hong2	aihog
爱护	ai4hu4	aihu
爱意	ai4yi4	aii
哎呀	ai1ya5	aiia
哎呀呀	ai1ya5ya5	aiiaia
碍眼	ai4yan3	aiib
爱因斯坦	ai4yin1si1tan3	aiinstan
挨挤	ai2ji3	aij
挨家	ai1jia1	aijia
挨家挨户	ai1jia1ai1hu4	aijiaaihu
爱将	ai4jiang4	aijiag
哀叫	ai1jiao4	aijiao
挨肩	ai1jian1	aijib
挨近	ai1jin4	aijin
埃及人	ai1ji2ren2	aijren
哀恳	ai1ken3	aiken
隘口	ai4kou3	aikou
爱哭	ai4ku1	aiku
爱老	ai4lao3	ailao
爱乐	ai4le4	aile
艾里	ai4li3	aili
爱恋	ai4lian4	ailib
爱理不理	ai4li3bu4li3	aili-buli
隘路	ai4lu4	ailu
爱侣	ai4lv3	ailv
挨骂	ai2ma4	aima
暧昧	ai4mei4	aimei
挨门挨户	ai1men2ai1hu4	aimenaihu
爱面子	ai4mian4zi5	aimibz
哀鸣	ai1ming2	aimig
爱民	ai4min2	aimin
爱民如子	ai4min2ru2zi3	aiminruz
爱莫能助	ai4mo4neng2zhu4	aimonegzhu
爱慕	ai4mu4	aimu
碍难	ai4nan2	ainan
爱女	ai4nv3	ainv
矮胖	ai3pang4	aipag
挨批	ai2pi1	aipi
哀泣	ai1qi4	aiq
矮墙	ai3qiang2	aiqiag
爱钱	ai4qian2	aiqib
哀切	ai1qie4	aiqie
爱情	ai4qing2	aiqig
哀求	ai1qiu2	aiqiu
爱犬	ai4quan3	aiqvb
爱人	ai4ren2	airen
爱人儿	ai4ren2er1	airenyr
哀荣	ai1rong2	airog
哀思	ai1si1	ais
爱上	ai4shang4	aishag
哀声叹气	ai1sheng1tan4qi4	aishegtanq
爱神	ai4shen2	aishen
碍事	ai4shi4	aishi
碍手碍脚	ai4shou3ai4jiao3	aishouaijiao
矮树	ai3shu4	aishu
矮松	ai3song1	aisog
爱孙	ai4sun1	aisun
艾特	ai4te4	ait
哀叹	ai1tan4	aitan
哀痛	ai1tong4	aitog
矮屋	ai3wu1	aiu
哀婉	ai1wan3	aiub
爱卫会	ai4wei4hui4	aiuihui
爱屋及乌	ai4wu1ji2wu1	aiuji-u
艾窝窝	ai4wo1wo1	aiuouo
碍于	ai4yu2	aiv
哀怨	ai1yuan4	aivb
哀乐	ai1yue4	aive
碍于情面	ai4yu2qing2mian4	aivqigmib
爱惜	ai4xi1	aix
癌细胞	ai2xi4bao1	aixbao
矮小	ai3xiao3	aixiao
矮星	ai3xing1	aixig
爱心	ai4xin1	aixin
挨训	ai2xun4	aixvn
哎哟	ai1yo1	aiyo
矮子	ai3zi5	aiz
挨宰	ai2zai3	aizai
艾滋病	ai4zi1bing4	aizbig
爱憎	ai4zeng1	aizeg
爱憎分明	ai4zeng1fen1ming2	aizegfenmig
挨炸	ai1zha4	aizha
挨着	ai1zhe5	aizhe
癌症	ai2zheng4	aizheg
癌肿	ai2zhong3	aizhog
挨揍	ai2zou4	aizou
阿姐	a1jie3	ajie
阿基米德	a1ji1mi3de2	ajmid
阿拉	a1la1	ala
阿联酋	a1lian2qiu2	alibqiu
阿妈	a1ma1	ama
阿猫阿狗	a1mao1a1gou3	amaoa-gou
阿盟	a1meng2	ameg
阿妹	a1mei4	amei
阿门	a1men2	amen
阿母	a1mu3	amu
阿木林	a1mu4lin2	amu-lin
阿奶	a1nai3	a-nai
暗暗	an4an4	anan
阿难	a1nan2	a-nan
安安静静	an1an1jing4jing4	ananjigjig
安安稳稳	an1an1wen3wen3	ananunun
安安心心	an1an1xin1xin1	ananxinxin
案板	an4ban3	anban
安保	an1bao3	anbao
安边	an1bian1	anbib
按兵不动	an4bing1bu4dong4	anbigbudog
安步当车	an1bu4dang1che1	anbudagche
按部就班	an4bu4jiu4ban1	anbujiuban
暗藏	an4cang2	ancag
安插	an1cha1	ancha
暗娼	an4chang1	anchag
暗潮	an4chao2	anchao
按察使	an4cha2shi3	anchashi
暗处	an4chu3	anchu
暗疮	an4chuang1	anchuag
暗忖	an4cun3	ancun
安达	an1da2	anda
暗淡	an4dan4	andan
按倒	an4dao3	andao
安德森	an1de2sen1	andesen
暗地	an4di4	andi
安定	an1ding4	andig
安定团结	an1ding4tuan2jie2	andigtubjie
暗地里	an4di4li3	andi-li
按动	an4dong4	andog
暗斗	an4dou4	andou
安度	an1du4	andu
安顿	an1dun4	andun
案发	an4fa1	anfa
安放	an1fang4	anfag
案犯	an4fan4	anfan
安分	an1fen4	anfen
安分守己	an1fen4shou3ji3	anfenshouj
安抚	an1fu3	anfu
鞍钢	an1gang1	angag
暗光	an4guang1	anguag
暗合	an4he2	anh
暗害	an4hai4	anhai
暗含	an4han2	anhan
暗号	an4hao4	anhao
暗黑	an4hei1	anhei
暗红	an4hong2	anhog
暗红色	an4hong2se4	anhogse
暗呼	an4hu1	anhu
氨化	an1hua4	anhua
暗黄	an4huang2	anhuag
暗灰	an4hui1	anhui
安魂曲	an1hun2qu3	anhunqv
安逸	an1yi4	ani
按压	an4ya1	ania
安养	an1yang3	aniag
