T拼音	汉字	类别	意符	通用语	释义
a1	吖	[化学]	h	alh	有机化合物的一类
a1	阿	(词缀)		al	词头
a1	阿	词缀	cv	alcv	词头
a1	啊	[叹词]	t	alt	赞叹或惊异
a1	啊	叹词	tc	altc	赞叹或惊异
a1	锕	元素	ys	alys	一种放射性金属元素Ac
a1	呵	"叹词,排序"	tcp	altcp	惊讶
a1	腌	污浊	wv	alwv	脏，不干净
a2	啊	(叹词)		ak	疑问或反问
a2	啊	叹词	tc	aktc	疑问或反问
a2	嗄	"叹词,排序"	tcp	aktcp	疑问或反问
a2	呵	[叹词]	t	akt	惊讶
a3	啊	(叹词)		af	疑惑
a3	啊	叹词	tc	aftc	疑惑
a3	呵	[叹词]	t	aft	惊讶
a4	啊	(叹词)		ad	应诺
a4	啊	叹词	tc	adtc	应诺
a4	呵	[叹词]	t	adt	惊讶
a5	阿	[语助词]	y	amy	惊叹
a5	啊	(语助词)		am	惊叹
a5	啊	语助词	yv	amyv	惊叹
a5	呵	"语助词,排序"	yvp	amyvp	惊叹
ai1	哎	[叹词]	t	ailt	不满或提醒
ai1	哀	(悲苦)		ai	悲痛
ai1	哀	悲苦	bk	ailbk	悲痛
ai1	唉	叹词	tc	ailtc	应人声
ai1	埃	粉尘	fi	ailfi	灰尘
ai1	挨	(接触)		ail	靠近
ai1	挨	接触	ji	ailji	靠近
ai1	锿	元素	ys	ailys	一种人造放射性金属元素Es
ai2	挨	(接触)		aik	遭受
ai2	挨	接触	ji	aikji	遭受
ai2	捱	耐受	nu	aiknu	遭受
ai2	皑	色彩	sc	aiksc	洁白
ai2	癌	疾病	jb	aikjb	恶性肿瘤
ai2	呆	"才情,旧字"	cqj	aikcqj	死板
ai3	哎	[叹词]	t	aift	不满或提醒
ai3	嗳	叹词	tc	aiftc	否定或不同意
ai3	矮	(差异)		aif	身材短
ai3	矮	差异	iy	aifiy	身材短
ai3	蔼	态度	td	aiftd	和气，和善
ai3	霭	天气	tq	aiftq	云气
ai4	哎	"叹词,排序"	tcp	aidtcp	不满或提醒
ai4	唉	叹词	tc	aidtc	伤感或惋惜
ai4	嗳	[叹词]	t	aidt	懊恼、悔恨
ai4	艾	草本	cb	aidcb	草本植物
ai4	爱	(好感)		aid	有深挚的感情
ai4	爱	好感	hg	aidhg	有深挚的感情
ai4	砹	元素	ys	aidys	一种放射性非金属元素At
ai4	隘	场所	is	aidis	险要的地方
ai4	嗌	痛苦	tk	aidtk	咽喉窒塞
ai4	嫒	称谓	iw	aidiw	〔令嫒〕尊称别人的女儿
ai4	碍	屏蔽	pb	aidpb	妨害，限阻
ai4	暧	光泽	gz	aidgz	日光昏暗
ai4	瑷	地名	dm	aiddm	〔瑷珲〕地名，在黑龙江
an1	安	(从容)		anl	平静，稳定
an1	安	从容	cr	anlcr	平静，稳定
an1	桉	木本	mb	anlmb	常绿乔木
an1	氨	[化学]	h	anlh	无机化合物
an1	庵	房子	fz	anlfz	圆形草屋
an1	谙	认知	rv	anlrv	熟悉，精通
an1	鹌	鸟类	nl	anlnl	鹌鹑
an1	鞍	组合	zh	anlzh	骡马背上便于骑坐的东西
an1	鞍	组合	zh	anlzh	骡马背上便于骑坐的东西
an1	厂	"房子,排序A"	fzpa	anlfzpa	同“庵”，多用于人名：圆形草屋（文人的书斋亦多称“庵”，如“老学庵”，“影梅庵”）
an1	广	"房子,排序"	fzp	anlfzp	同“庵”，多用于人名：圆形草屋（文人的书斋亦多称“庵”，如“老学庵”，“影梅庵”）
an3	俺	(代词)		anf	我们（不包括听话的人）
